Feature Designation Code,Feature Designation Name,Feature Designation Text,Feature Class
#ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",A
ADM1,primary division,"a primary administrative division of a country, such as a state in the United States",A
ADM1H,historical first-order administrative division,a former first-order administrative division,A
#ADM2,second-order administrative division,a subdivision of a first-order administrative division,A
ADM2,secondary division,a subdivision of a first-order administrative division,A
ADM2H,historical second-order administrative division,a former second-order administrative division,A
ADM3,third-order administrative division,a subdivision of a second-order administrative division,A
ADM3H,historical third-order administrative division,a former third-order administrative division,A
ADM4,fourth-order administrative division,a subdivision of a third-order administrative division,A
ADM4H,historical fourth-order administrative division,a former fourth-order administrative division,A
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",A
ADMDH,historical administrative division,"a former administrative division of a political entity, undifferentiated as to administrative level",A
ADMF,administrative facility,a government building,S
ADMS,school district,,A
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,L
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,S
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",S
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,S
AIRG,hangar,a covered and usually enclosed area for housing and repairing aircraft,S
AIRH,heliport,a place where helicopters land and take off,S
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",S
AIRQ,abandoned airfield,,S
AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off,H
AIRT,terminal,airport facilities for the handling of freight and passengers,S
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,S
AMUS,amusement park,"Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location",L
ANCH,anchorage,an area where vessels may anchor,H
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",S
APNU,undersea apron,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts",U
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",S
ARCH,arch,a natural or man-made structure in the form of an arch,S
