"POSTAL_CODE","ADM1_CODE","STATE","LAT","LON","FIPS_CC","ISO2_CC"
"AL","US01","ALABAMA",32.799,-86.8073,"US","US"
"AK","US02","ALASKA",61.385,-152.2683,"US","US"
"AZ","US04","ARIZONA",33.7712,-111.3877,"US","US"
"AR","US05","ARKANSAS",34.9513,-92.3809,"US","US"
"CA","US06","CALIFORNIA",36.17,-119.7462,"US","US"
"CO","US08","COLORADO",39.0646,-105.3272,"US","US"
"CT","US09","CONNECTICUT",41.5834,-72.7622,"US","US"
"DE","US10","DELAWARE",39.3498,-75.5148,"US","US"
"DC","US11","DISTRICT OF COLUMBIA",38.8964,-77.0262,"US","US"
"FL","US12","FLORIDA",27.8333,-81.717,"US","US"
"GA","US13","GEORGIA",32.9866,-83.6487,"US","US"
"HI","US15","HAWAII",21.1098,-157.5311,"US","US"
"ID","US16","IDAHO",44.2394,-114.5103,"US","US"
"IL","US17","ILLINOIS",40.3363,-89.0022,"US","US"
"IN","US18","INDIANA",39.8647,-86.2604,"US","US"
"IA","US19","IOWA",42.0046,-93.214,"US","US"
"KS","US20","KANSAS",38.5111,-96.8005,"US","US"
"KY","US21","KENTUCKY",37.669,-84.6514,"US","US"
"LA","US22","LOUISIANA",31.1801,-91.8749,"US","US"
"ME","US23","MAINE",44.6074,-69.3977,"US","US"
"MD","US24","MARYLAND",39.0724,-76.7902,"US","US"
"MA","US25","MASSACHUSETTS",42.2373,-71.5314,"US","US"
"MI","US26","MICHIGAN",43.3504,-84.5603,"US","US"
"MN","US27","MINNESOTA",45.7326,-93.9196,"US","US"
"MS","US28","MISSISSIPPI",32.7673,-89.6812,"US","US"
"MO","US29","MISSOURI",38.4623,-92.302,"US","US"
"MT","US30","MONTANA",46.9048,-110.3261,"US","US"
"NE","US31","NEBRASKA",41.1289,-98.2883,"US","US"
"NV","US32","NEVADA",38.4199,-117.1219,"US","US"
"NH","US33","NEW HAMPSHIRE",43.4108,-71.5653,"US","US"
"NJ","US34","NEW JERSEY",40.314,-74.5089,"US","US"
"NM","US35","NEW MEXICO",34.8375,-106.2371,"US","US"
"NY","US36","NEW YORK",42.1497,-74.9384,"US","US"
"NC","US37","NORTH CAROLINA",35.6411,-79.8431,"US","US"
"ND","US38","NORTH DAKOTA",47.5362,-99.793,"US","US"
"OH","US39","OHIO",40.3736,-82.7755,"US","US"
"OK","US40","OKLAHOMA",35.5376,-96.9247,"US","US"
"OR","US41","OREGON",44.5672,-122.1269,"US","US"
"PA","US42","PENNSYLVANIA",40.5773,-77.264,"US","US"
"RI","US44","RHODE ISLAND",41.6772,-71.5101,"US","US"
"SC","US45","SOUTH CAROLINA",33.8191,-80.9066,"US","US"
"SD","US46","SOUTH DAKOTA",44.2853,-99.4632,"US","US"
"TN","US47","TENNESSEE",35.7449,-86.7489,"US","US"
"TX","US48","TEXAS",31.106,-97.6475,"US","US"
"UT","US49","UTAH",40.1135,-111.8535,"US","US"
"VT","US50","VERMONT",44.0407,-72.7093,"US","US"
"VA","US51","VIRGINIA",37.768,-78.2057,"US","US"
"WA","US53","WASHINGTON",47.3917,-121.5708,"US","US"
"WV","US54","WEST VIRGINIA",38.468,-80.9696,"US","US"
"WI","US55","WISCONSIN",44.2563,-89.6385,"US","US"
"WY","US56","WYOMING",42.7475,-107.2085,"US","US"
"AS","US60","AMERICAN SAMOA",14.2417,-170.7197,"AQ","AS"
"GU","US66","GUAM",13.5,144.8,"GQ","GU"
"MP","US69","NORTHERN MARIANA ISLANDS",14.8058,145.5505,"CQ","MP"
"PR","US72","PUERTO RICO",18.2766,-66.335,"RQ","PR"
"VI","US78","VIRGIN ISLANDS",18.0001,-64.8199,"VI","VI"
