test_id,test_fam,true_pos,true_lat,true_lon,text,result_id,status,message,family,pattern,matchtext,lat,lon,mgrs,precision,offset
DD_01#1,DD,true,-34,117, -34° 117°,DD_01#1,PASS,,DD,DD-05,-34° 117°,-34,117,50HNH0000037844,55500,1
DD_01#2,DD,true,34,-117, N34° W117°,DD_01#2,PASS,,DD,DD-05,N34° W117°,34,-117,11SNT0000062155,55500,1
DD_01#3,DD,true,-34.445566,117.112233, -34.445566° 117.112233°,DD_01#3,PASS,,DD,DD-03,-34.445566° 117.112233°,-34.445564,117.112236,50HNG1031088433,0,1
DD_01#4,DD,true,-34.445566,117.112233, -34.445566°ø 117.112233°ø,DD_01#4,FAIL,Test Payload:  -34.445566°ø 117.112233°ø; ,,,,,,,,
DD_01#5,DD,false,0,0, +92° W190°,DD_01#5,PASS,Test Payload:  +92° W190°; ,,,,,,,,
DD_01#6,DD,true,34,117, 34° 117°,DD_01#6,PASS,,DD,DD-05, 34° 117°,34,117,50SNC0000062155,55500,0
DD_01#7,DD,true,34.8,117.2, 34.80° 117.20°,DD_01#7,PASS,,DD,DD-03,34.80° 117.20°,34.80,117.20,50SND1829450882,555,1
DD_01#8,DD,true,34.8,41,34.80N 41E,DD_01#8,PASS,,DD,DD-06,80N 41E,80,41,37XEJ6781083626,55500,3
DD_02#1,DD,true,34,-117, N34 W117,DD_02#1,PASS,,DD,DD-07,N34 W117,34,-117,11SNT0000062155,55500,1
DD_02#2,DD,true,34.445566,-117.112233," N34.445566° W117.112233°  opposite hemisphere, same XY value",DD_02#2,PASS,,DD,DD-01,N34.445566° W117.112233°,34.445564,-117.112236,11SMU8968911566,0,1
DD_02#3,DD,true,34.445566,-78.112233, N34.445566° W078.112233°  LON variations,DD_02#3,PASS,,DD,DD-01,N34.445566° W078.112233°,34.445564,-78.112236,17SQU6531915344,0,1
DD_02#4,DD,true,34.445566,-78.112233, N34.445566° W78.112233°  LON variations,DD_02#4,PASS,,DD,DD-01,N34.445566° W78.112233°,34.445564,-78.112236,17SQU6531915344,0,1
DD_02#5,DD,true,34.445566,-81.112233," N34.445566° W081.112233°  LON variations,  test the longitude range 80-99deg",DD_02#5,PASS,,DD,DD-01,N34.445566° W081.112233°,34.445564,-81.112236,17SMU8968911566,0,1
DD_02#6,DD,true,34.445566,-81.112233, N34.445566° W81.112233°  LON variations,DD_02#6,PASS,,DD,DD-01,N34.445566° W81.112233°,34.445564,-81.112236,17SMU8968911566,0,1
DD_02#7,DD,true,34.445566,-91.112233, N34.445566° W091.112233°  LON variations,DD_02#7,PASS,,DD,DD-01,N34.445566° W091.112233°,34.445564,-91.112236,15SXU7342613177,0,1
DD_02#8,DD,true,34.445566,-91.112233, N34.445566° W91.112233°  LON variations,DD_02#8,PASS,,DD,DD-01,N34.445566° W91.112233°,34.445564,-91.112236,15SXU7342613177,0,1
DD_02#9,DD,true,34.445566,-101.112233, N34.445566° W101.112233°  LON variations,DD_02#9,PASS,,DD,DD-01,N34.445566° W101.112233°,34.445564,-101.112236,14SLD0594713584,0,1
DD_02#10,DD,true,34.445566,-171.112233, N34.445566° W171.112233°  LON variations,DD_02#10,PASS,,DD,DD-01,N34.445566° W171.112233°,34.445564,-171.112228,2SMD8969011566,0,1
DD_02#11,DD,false,0,0, N34.445566° W181.112233°  LON variations; FAIL 181 > 180. Looks like a coord.,DD_02#11,PASS,Test Payload:  N34.445566° W181.112233°  LON variations; FAIL 181 > 180. Looks like a coord.; ,,,,,,,,
DD_03#1,DD,true,34,44, 34.00N 44E   variable length lat/lon with trailing hemisphere,DD_03#1,PASS,,DD,DD-06,00N 44E,0,44,38NLF8871900000,55500,4
DD_03#2,DD,true,34,44.11, 34.00N 44.11E   variable length lat/lon with trailing hemisphere,DD_03#2,PASS,,DD,DD-02,34.00N 44.11E,34.00,44.11,38SMC1780962512,555,1
DD_03#3,DD,true,34,44.11, 34.0N 44.11E   variable length lat/lon with trailing hemisphere,DD_03#3,PASS,,DD,DD-02,34.0N 44.11E,34.00,44.11,38SMC1780962512,555,1
DD_03#4,DD,true,34,44.1, 34.0N 44.1E   variable length lat/lon with trailing hemisphere,DD_03#4,PASS,,DD,DD-02,34.0N 44.1E,34.0,44.1,38SMC1688562521,5550,1
DD_03#5,DD,true,-34,144.1, 34.0S 144.1E   variable length lat/lon with trailing hemisphere,DD_03#5,PASS,,DD,DD-02,34.0S 144.1E,-34.0,144.1,55HBC3214834051,5550,1
DD_03#6,DD,false,0,0, 34.00 44.11    FAIL: no hemisphere,DD_03#6,PASS,Test Payload:  34.00 44.11    FAIL: no hemisphere; ,,,,,,,,
DD_03#7,DD,false,0,0, -34.00 +44.11   FAIL: no hemisphere,DD_03#7,PASS,Test Payload:  -34.00 +44.11   FAIL: no hemisphere; ,,,,,,,,
DD_03#8,DD,false,0,0, -234.00 +44.11   FAIL; -234 < -90 lat,DD_03#8,PASS,Test Payload:  -234.00 +44.11   FAIL; -234 < -90 lat; ,,,,,,,,
DD_03#9,DD,false,0,0, -34.00 +181.11   FAIL; -181 > 180 lon,DD_03#9,PASS,Test Payload:  -34.00 +181.11   FAIL; -181 > 180 lon; ,,,,,,,,
DD_03#10,DD,false,0,0, -234.00 +181.11   FAIL; -181 > 180 lon,DD_03#10,PASS,Test Payload:  -234.00 +181.11   FAIL; -181 > 180 lon; ,,,,,,,,
DD_04#1,DD,true,32,-179, LATITUDE: +32  LONGITUDE: -179,DD_04#1,FAIL,Test Payload:  LATITUDE: +32  LONGITUDE: -179; ,,,,,,,,
DD_04#2,DD,true,32.3345,-179.3412, (?# TARGET [1]  LATITUDE: +32.3345  LONGITUDE: -179.3412),DD_04#2,PASS,,DD,DD-04,LATITUDE: +32.3345  LONGITUDE: -179.3412,32.3345,-179.3412,1SBR7964179922,5,17
DD_04#3,DD,true,32.3345,-179.3412," (?# TARGET [1]  LATITUDE: +32.3345 
LONGITUDE: -179.3412)   ## Line wrapping test.",DD_04#3,PASS,,DD,DD-04,"LATITUDE: +32.3345 
LONGITUDE: -179.3412",32.3345,-179.3412,1SBR7964179922,5,17
DM_00#1,DM,true,11.372225,-111.372225, 1122N.3335 11122W.3335,DM_00#1,PASS,,DM,DM-00,1122N.3335 11122W.3335,11.372225,-111.372223,12PVT5938857163,15,1
DM_00#2,DM,true,11.36667,-111.36667, 1122N-00 11122W-00,DM_00#2,PASS,,DM,DM-00,1122N-00 11122W-00,11.3667,-111.3667,12PVT5999356547,15,1
DM_01#3,DM,true,11.37222,-111.37222, 1122.333N 11122.333W,DM_01#3,PASS,,DM,DM-02a,1122.333N 11122.333W,11.37222,-111.37222,12PVT5938957162,15,1
