exclusion,category
#,Add here any term or phrase you wish to eliminate from geotagging because it 
#,is a well known or not-so-well known acronym. 
AAA,
ABO,
AC,
ACO,
ABS,
ACA,
ACS,
AD,
ADA,
ADHD,
AES,
AI,
AIG,
AIS,
ALCON,
AM,
AMA,
AMD,
ANSI,
AOA,
AOL,
AOR,
AP,
APO,
API,
ARP,
ARS,
ASA,
ASC,
ASAT,
ASM,
ASN,
ASOT,
ASP,
ATC,
ATK,
ATS,
ATT,
AVI,
AWOL,
BAE,
BBQ,
BDA,
BDE,
BER,
BIOS,
BOT,
BTW,
BVI,
CAP,
CAS,
CAT,
CAV,
CEN,
CEO,
CERN,
CFO,
CIA,
CIO,
CIS,
CNN,
COB,
COE,
COM,
COO,
COR,
COS,
CSC,
CTO,
CUI,
DAP,
DB,
DBA,
DCO,
DEF,
DEG,
DEM,
DHL,
DIMM,
DNR,
DOB,
DOD,
DOL,
DRAM,
DRE,
EC,
EDT,
EDU,
EP,
EPA,
ER,
ERD,
ESP,
EST,
EU,
EUR,
EXE,
FAA,
FAC,
FAX,
FDA,
FIFA,
FLT,
FOB,
FOUO,
FSA,
FY,
GAO,
GE,
GED,
GIF,
GIS,
GM,
GMBH,
GMT,
GNU,
GOP,
GOTS,
GPA,
GPS,
GUI,
HD,
HEU,
HIV,
HMS,
HQ,
HQS,
HTM,
HW,
IC,
ICU,
IDE,
IDS,
IM,
IMEI,
INI,
INS,
IO,
IOS,
IPA,
IRA,
IRS,
ISO,
ITAR,
JAR,
JIE,
KG,
KiB,
KW,
KWH,
KPI,
LAN,
LEU,
LIDAR,
LLC,
LOE,
MBA,
MGT,
MIDI,
MIE,
MIL,
MIME,
MIT,
MOA,
MOFA,
MOU,
MOUS,
MOS,
MOV,
MP,
MRA,
MRE,
MRI,
MSG,
MSN,
MTN,
NA,
NAS,
NATO,
NEC,
NGO,
NIC,
NIST,
NYSE,
NYT,
OBE,
OCC,
OEM,
OODA,
OSC,
OSE,
OSI,
OSS,
OT,
OTH,
PALS,
PAO,
PAP,
PBS,
PCA,
PDF,
PFD,
PM,
POI,
POS,
POTUS,
PPE,
PPL,
PPM,
PPP,
PRI,
PS,
PSI,
RAI,
RAR,
RBS,
RD,
RET,
RHEL,
RIA,
RF,
ROA,
ROM,
RSS,
RT,
SAMS,
SAR,
SARS,
SATA,
SAV,
SCI,
SEO,
SME,
SMS,
SNL,
SNR,
SOC,
SOW,
SUV,
SPAN,
STIG,
TASS,
TSA,
UPI,
UPS,
URI,
USC,
USGS,
UTM,
VAT,
VOX,
VPN,
WAN,
WAV,
WR,
XX,
XXX,
