exclusion,category
ach,phrase.deu
acht,noun.deu
ahorn,noun.deu
alle,article.deu
alles,article.deu
alten,adj.deu
arbeit,noun.deu
armen,adj.deu
auen,place.general.deu
bahn,nound.deu
bauer,noun.deu
beier,noun.deu
beste,adj.deu
besten,adj.deu
bild,noun.deu
bist,noun.deu
bitte,phrase.deu
brau,verb.deu
braut,noun.deu
breun,color.deu
buaum,noun.deu
buch,noun.deu
buches,noun.deu
bucht,place.general.deu
bund,noun.deu
buss,noun.deu
danke,phrase.deu
dauer,noun.deu
daun,noun.deu
deine,article.deu
der,article.deu
die,article.deu
die post,phrase.deu
dienstag,time.deu
disse,article.deu
dohr,noun.deu
donnerstag,time.deu
dorf,noun.deu
dort,noun.deu
drei,number.deu
duft,noun.deu
dunkle,adj.deu
eben,article.deu
echt,number.deu
eck,noun.deu
ecker,noun.deu
eich,article.deu
eigne,article.deu
eine,article.deu
eiz,noun.deu
elm,noun.deu
elz,number.deu
ende,noun.deu
erben,noun.deu
essen,article.deu
eue,adj.deu
fach,noun.deu
fahn,noun.deu
fahr,noun.deu
fals,noun.deu
feld,place.general.deu
ficht,noun.deu
forst,place.general.deu
fragen,verb.deu
freitag,time.deu
freund,noun.deu
fuchs,noun.deu
garten,place.general.deu
geist,noun.deu
ginn,article.deu
gothic,adj.deu
gras,noun.deu
grund,noun.deu
grusse,phrase.deu
grüsse,phrase.deu
grüße,phrase.deu
grüßen,phrase.deu
haken,verb.deu
halle,phrase.deu
hallo,phrase.deu
hanne,person_name.deu
harald,person_name.deu
hause,noun.deu
heer,noun.deu
herr,person_title.deu
hier,person_title.deu
ich,pronoun.deu
ist,verb.deu
jahr,noun.deu
jede,article.deu
juli,month.deu
juni,month.deu
kampf,noun.deu
karten,noun.deu
knuden,verb.deu
koch,noun.deu
kopf,noun.deu
kunde,noun.deu
lache,verb.deu
leider,adv.deu
luft,verb.deu
magazin,noun.deu
mai,month.deu
marke,noun.deu
markt,place.general.deu
märz,month.deu
marz,month.deu
mehr,pronoun.deu
meine,article.deu
meister,person_title.deu
menge,verb.deu
mengen,verb.deu
mittwock,time.deu
montag,time.deu
musik,noun.deu
nacht,time.deu
namen,noun.deu
nase,noun.deu
nationale,adj.deu
nein,phrase.deu
nett,noun.deu
neu,adj.deu
neun,number.deu
nord,direction.deu
noten,noun.deu
ob,article.deu
od,article.deu
olaf,person_name.deu
ort,article.deu
paar,noun.deu
paket,noun.deu
platz,place.general.deu
recht,noun.deu
regel,noun.deu
regeln,noun.deu
rohr,noun.deu
samael,person_name.deu
samiel,person_name.deu
samstag,time.deu
seid,noun.deu
seite,noun.deu
seiten,noun.deu
senden,verb.deu
sendung,verb.deu
sieg,noun.deu
sonne,noun.deu
sonntag,time.deu
sorten,verb.deu
spaß,noun.deu
stadt,place.general.deu
stelle,noun.deu
stift,noun.deu
strasse,place.general.deu
sud,direction.deu
tage,verb.deu
tagen,verb.deu
tages,verb.deu
tanz,noun.deu
titel,noun.deu
unter,noun.deu
viktoria,person_name.deu
vor,pronoun.deu
wald,noun.deu
wälder,place.general.deu
wasser,noun.deu
weg,noun.deu
weicht,place.general.deu
weis,color.deu
welt,noun.deu
wer,article.deu
werk,noun.deu
wert,noun.deu
wilde,adj.deu
wilden,adj.deu
wilder,adj.deu
wilhelm,person_name.deu
winden,noun.deu
woche,noun.deu
worden,noun.deu
ziel,verb.deu
zur,noun.deu
