exclusion,category
abre,adj.spa
alto,adj.spa
bien,adj.spa
brillante,adj.spa
buen,adj.spa
bueno,adj.spa
buenos,adj.spa
caliente,adj.spa
casada,adj.spa
casado,adj.spa
casados,adj.spa
claro,adj.spa
corte,adj.spa
facil,adj.spa
fuerte,adj.spa
generoso,adj.spa
gran,adj.spa
grande,adj.spa
grandes,adj.spa
hermosa,adj.spa
hermosa,adj.spa
hermoso,adj.spa
hermoso,adj.spa
lista,adj.spa
mal,adj.spa
muerte,adj.spa
mundial,adj.spa
permanente,adj.spa
ultimo,adj.spa
último,adj.spa
#la,article.spa
asi,article.spa
durante,article.spa
esa,article.spa
esas,article.spa
esās,article.spa
ese,article.spa
eso,article.spa
este,article.spa
esto,article.spa
hay,article.spa
lo,article.spa
por,article.spa
que,article.spa
sus,article.spa
azul,color.spa
blanco,color.spa
abajo,direction
bajo,direction
cento,enum.spa
cero,enum.spa
cinco,enum.spa
cuatro,enum.spa
diez,enum.spa
dos,enum.spa
dos,enum.spa
dos,enum.spa
nueve,enum.spa
ocho,enum.spa
primera,enum.spa
primero,enum.spa
segunda,enum.spa
segundo,enum.spa
seis,enum.spa
siete,enum.spa
tres,enum.spa
una,enum.spa
unas,enum.spa
uno,enum.spa
uno,enum.spa
unos,enum.spa
abril,month.spa
enero,month.spa
febrero,month.spa
marzo,month.spa
acuario,myth.spa
# ayer,noun
abuela,noun
abuelo,noun
academia,noun
administracion,noun
administración,noun
aero,noun
agua,noun
ahora,noun
aire,noun
alerta,noun
algunas,noun
amigo,noun
amigos,noun
amo,noun
amores,noun
animales,noun
ano,noun
año,noun
aqua,noun
arte,noun
ayuda,noun
banca,noun
bando,noun
beso,noun
boca,noun
calibre,noun
calle,noun
calles,noun
calma,noun
cambio,noun
campana,noun
canciones,noun
cantina,noun
caracter,noun
carne,noun
carta,noun
ças,noun
caso,noun
catedral,noun
catorce,noun
cerrada,noun
cerrado,noun
chico,noun
chicos,noun
chimica,noun
chino,noun
cien,noun
cinta,noun
ciudad,noun
congreso,noun
constitución,noun
copa,noun
corporación,noun
corrientes,noun
cosa,noun
creo,noun
cuadrado,noun
cuadro,noun
cuando,noun
cuarto,noun
cultura,noun
democracia,noun
dependencia,noun
deposito,noun
derechos humanos,noun
dias,noun
dio,noun
dios,noun
dolor de cabeza,noun
drogas,noun
economía,noun
educación,noun
el acuerdo,noun
el aire,noun
el amor,noun
el arte,noun
el cáncer,noun
el congreso,noun
