exclusion,category
a.k.a,abbrev
ab,abbrev
acme,abbrev
adv,abbrev
aka,abbrev
alt,abbrev
asap,abbrev
astro,abbrev
aux,abbrev
baz,abbrev
bio,abbrev
biz,abbrev
bro,abbrev
bros,abbrev
chem,abbrev
ci,abbrev
cid,abbrev
coll,abbrev
conop,abbrev
demi,abbrev
doc,abbrev
ed,abbrev
eng,abbrev
eta,abbrev
etc,abbrev
eval,abbrev
expo,abbrev
fam,abbrev
fig,abbrev
glo,abbrev
hg,abbrev
ibid,abbrev
imo,abbrev
inc,abbrev
lat,abbrev
lib,abbrev
lil,abbrev
locs,abbrev
lon,abbrev
ltd,abbrev
mag,abbrev
max,abbrev
mbit,abbrev
meds,abbrev
meta,abbrev
meth,abbrev
mid,abbrev
mili,abbrev
min,abbrev
mod,abbrev
mph,abbrev
natl,abbrev
non,abbrev
ortho,abbrev
para,abbrev
pers,abbrev
pharma,abbrev
pjs,abbrev
po,abbrev
pre,abbrev
proj,abbrev
pros,abbrev
re,abbrev
rec,abbrev
recap,abbrev
ref,abbrev
rel,abbrev
res,abbrev
robo,abbrev
sic,abbrev
sim,abbrev
siz,abbrev
spec,abbrev
src,abbrev
st,abbrev
sub,abbrev
svcs,abbrev
sys,abbrev
tel,abbrev
tele,abbrev
temp,abbrev
tid,abbrev
tix,abbrev
toc,abbrev
topo,abbrev
tos,abbrev
tot,abbrev
trix,abbrev
tum,abbrev
univ,abbrev
utc,abbrev
vol,abbrev
wal,abbrev
xin,abbrev
# mobile,adj
absolute,adj
academic,adj
actual,adj
aerial,adj
allied,adj
alone,adj
alpine,adj
amish,adj
anal,adj
angered,adj
anglo,adj
annual,adj
asian,adj
astray,adj
auto,adj
avian,adj
aware,adj
axial,adj
bad,adj
baltic,adj
bare,adj
beautiful,adj
bent,adj
best,adj
big,adj
bigger,adj
bland,adj
blank,adj
bold,adj
bony,adj
boring,adj
bovine,adj
brave,adj
brief,adj
brilliant,adj
broke,adj
broken,adj
buff,adj
bulk,adj
burnt,adj
busy,adj
californian,adj
central,adj
cheap,adj
chic,adj
cirrus,adj
civil,adj
classic,adj
collegiate,adj
comercial,adj
commercial,adj
common,adj
concise,adj
confederate,adj
congressional,adj
consolidated,adj
consular,adj
converse,adj
cool,adj
cornish,adj
corny,adj
corporal,adj
covert,adj
cozy,adj
crisp,adj
cultural,adj
daily,adj
dandy,adj
dark,adj
dear,adj
deep,adj
diplomatic,adj
dire,adj
dismal,adj
divine,adj
done,adj
driven,adj
dry,adj
dual,adj
due,adj
early,adj
easy,adj
electric,adj
elementary,adj
elite,adj
english,adj
european,adj
ever,adj
every,adj
everyday,adj
excelsior,adj
experimental,adj
extreme,adj
fair,adj
fake,adj
fallen,adj
fancy,adj
far,adj
fast,adj
fatal,adj
faux,adj
fine,adj
first world,adj
fiscal,adj
flat,adj
foremost,adj
free,adj
freed,adj
french,adj
fried,adj
full,adj
fuming,adj
given,adj
glad,adj
gone,adj
good,adj
grand,adj
graphic,adj
grim,adj
gross,adj
handy,adj
hard,adj
harder,adj
hardy,adj
hasty,adj
high,adj
high level,adj
higher,adj
hippy,adj
honest,adj
hot,adj
huge,adj
hungry,adj
hydro,adj
ideal,adj
imperial,adj
indian,adj
indo,adj
industrial,adj
innate,adj
inner,adj
inter,adj
international,adj
jew,adj
jewish,adj
joint,adj
jolly,adj
just,adj
keen,adj
kind,adj
laden,adj
large,adj
last,adj
late,adj
latino,adj
latter,adj
legal,adj
lenten,adj
less,adj
liberal,adj
libre,adj
little,adj
local,adj
lone,adj
long,adj
loose,adj
lost,adj
lots,adj
loving,adj
low,adj
lower,adj
loyal,adj
lucky,adj
lunar,adj
main,adj
main stream,adj
mainstream,adj
malay,adj
marine,adj
maritime,adj
martial,adj
massive,adj
