ADM1	PLACE_ID	LAT	LON	NAMEAD.06	G3039162	42.5	1.5	Sant Julia de Loria
AD.05	G3039676	42.6	1.5	Ordino
AD.04	G3040131	42.6	1.5	La Massana
AD.03	G3040684	42.5	1.6	Encamp
AD.02	G3041203	42.6	1.7	Canillo
AD.07	G3041566	42.5	1.5	Andorra la Vella
AD.08	G3338529	42.5	1.6	Escaldes-Engordany
AE.07	G290595	25.5	55.8	Imarat Umm al Qaywayn
AE.05	G291075	25.7	56.0	Imarat Ra's al Khaymah
AE.03	G292224	25.0	55.3	Dubai
AE.06	G292673	25.3	55.4	Ash Shariqah
AE.04	G292879	25.1	56.2	Imarat al Fujayrah
AE.02	G292933	25.4	55.5	Imarat 'Ajman
AE.01	G292969	23.7	54.0	Abu Dhabi
AF.28	G1121143	32.2	67.2	Wilayat-e Zabul
AF.27	G1121863	34.2	68.0	Wardak
AF.26	G1123230	36.7	69.8	Wilayat-e Takhar
AF.33	G1127106	35.8	66.2	Sar-e Pul
AF.32	G1127766	36.0	67.7	Samangan
AF.40	G1131054	35.0	68.9	Parwan
AF.29	G1131256	32.4	68.8	Wilayat-e Paktika
AF.36	G1131257	33.7	69.3	Wilayat-e Paktiya
AF.39	G1131461	32.8	66.0	Uruzgan
AF.19	G1131821	31.0	62.5	Wilayat-e Nimroz
AF.18	G1132366	34.3	70.4	Nangarhar
AF.17	G1134561	34.0	69.2	Wilayat-e Logar
AF.35	G1135022	34.8	70.2	Wilayat-e Laghman
AF.24	G1135690	36.8	68.8	Kunduz
AF.34	G1135702	35.0	71.1	Wilayat-e Kunar
AF.14	G1138255	35.0	69.6	Wilayat-e Kapisa
AF.23	G1138335	31.0	65.8	Kandahar
AF.13	G1138957	34.5	69.4	Wilayat-e Kabul
AF.31	G1139049	36.8	65.8	Wilayat-e Jowzjan
AF.11	G1140025	34.5	62.0	Herat
AF.10	G1140043	31.0	64.0	Helmand
AF.09	G1141103	34.0	65.0	Wilayat-e Ghor
AF.08	G1141268	33.3	67.8	Wilayat-e Ghazni
AF.07	G1142226	36.2	64.8	Faryab Province
AF.06	G1142263	32.5	62.5	Farah
AF.05	G1147239	34.8	67.2	Wilayat-e Bamyan
AF.30	G1147288	36.8	67.0	Balkh
AF.03	G1147537	35.8	69.0	Wilayat-e Baghlan
AF.02	G1147707	35.0	63.8	Badghis
AF.01	G1147745	36.8	72.0	Badakhshan
AF.37	G1444362	33.4	69.9	Velayat-e Khowst
AF.38	G1444363	35.3	70.8	Velayat-e Nurestan
AF.41	G6957553	33.8	66.2	Daykundi Province
AF.42	G6957555	35.4	70.0	Panjshir
AG.08	G3576015	17.1	-61.7	Parish of Saint Philip
AG.07	G3576016	17.1	-61.7	Parish of Saint Peter
AG.06	G3576017	17.0	-61.8	Parish of Saint Paul
AG.05	G3576018	17.1	-61.9	Parish of Saint Mary
AG.04	G3576023	17.1	-61.9	Parish of Saint John
AG.03	G3576024	17.1	-61.8	Parish of Saint George
AG.09	G3576037	16.9	-62.3	Redonda
AG.01	G3576390	17.6	-61.8	Barbuda
AI.11205389	G11205389	18.2	-63.1	Blowing Point
AI.11205392	G11205392	18.2	-63.1	Sandy Ground
AI.11205393	G11205393	18.2	-63.0	Sandy Hill
AI.11205396	G11205396	18.2	-63.1	The Valley
AI.11205433	G11205433	18.2	-63.0	East End
AI.11205436	G11205436	18.2	-63.1	North Hill
AI.11205437	G11205437	18.2	-63.2	West End
AI.11205438	G11205438	18.2	-63.1	South Hill
AI.11205439	G11205439	18.2	-63.0	The Quarter
AI.11205440	G11205440	18.2	-63.0	North Side
AI.11205441	G11205441	18.3	-63.0	Island Harbour
AI.11205442	G11205442	18.2	-63.1	George Hill
AI.11205443	G11205443	18.2	-63.0	Stoney Ground
AI.11205444	G11205444	18.2	-63.0	The Farrington
AL.40	G865730	40.6	20.1	Qarku i Beratit
AL.41	G865731	41.6	20.2	Qarku i Dibres
AL.43	G865732	41.1	20.2	Qarku i Elbasanit
AL.45	G865733	40.2	20.2	Qarku i Gjirokastres
AL.46	G865734	40.6	20.7	Qarku i Korces
AL.47	G865735	42.2	20.4	Qarku i Kukesit
AL.42	G3344947	41.5	19.6	Qarku i Durresit
AL.44	G3344948	40.8	19.6	Qarku i Fierit
AL.48	G3344949	41.8	19.9	Qarku i Lezhes
