AG.01	N-1323145	17.6	-61.8	Barbuda
AG.09	N11658784	16.9	-62.3	Redonda
AG.03	N-1323512	17.1	-61.8	Saint George
AG.03	N-1323512	17.1	-61.8	Parish of Saint George
AG.04	N-1323513	17.1	-61.9	Saint John
AG.04	N-1323513	17.1	-61.9	Parish of Saint John
AG.05	N-1323518	17.1	-61.9	Saint Mary
AG.05	N-1323518	17.1	-61.9	Parish of Saint Mary
AG.06	N-1323519	17.0	-61.8	Saint Paul
AG.06	N-1323519	17.0	-61.8	Parish of Saint Paul
AG.07	N-1323520	17.1	-61.8	Parish of Saint Peter
AG.07	N-1323520	17.1	-61.8	Saint Peter
AG.08	N-1323521	17.1	-61.7	Saint Philip
AG.08	N-1323521	17.1	-61.7	Parish of Saint Philip
AE.06	N-782370	25.0	55.8	Shariqah
AE.06	N-782370	25.0	55.8	Shargah
AE.06	N-782370	25.0	55.8	Sharjah State
AE.06	N-782370	25.0	55.8	Sharjah Principality
AE.06	N-782370	25.0	55.8	Sharja and Kalba
AE.06	N-782370	25.0	55.8	Sharja
AE.06	N-782370	25.0	55.8	Sharijah
AE.06	N-782370	25.0	55.8	Sharjah and Kalba
AE.06	N-782370	25.0	55.8	Sharjah
AE.06	N-782370	25.0	55.8	إمارة الشارقة
AE.06	N-782370	25.0	55.8	State of Sharjah
AE.06	N-782370	25.0	55.8	Sheikhdom of Sharjah
AE.06	N-782370	25.0	55.8	Ash Shāriqah
AE.05	N-784006	25.7	56.0	Ran al Khaima
AE.05	N-784006	25.7	56.0	Ras al Khaima
AE.05	N-784006	25.7	56.0	إمارة رأس الخيمة
AE.05	N-784006	25.7	56.0	Jasimi Shaikhdom of Ras al-Khaimah
AE.05	N-784006	25.7	56.0	State of Ras Al Khaima
AE.05	N-784006	25.7	56.0	Sheikhdom of Ras al Khaimah
AE.05	N-784006	25.7	56.0	Imarat Ra's al Khaymah
AE.01	N-782065	23.7	54.0	Abu Dhabi
AE.01	N-782065	23.7	54.0	أبو ظبي
AE.01	N-782065	23.7	54.0	Shaikhdom of Abu Dhabi
AE.01	N-782065	23.7	54.0	Emirate of Abu Dhabi
AE.01	N-782065	23.7	54.0	Abū Z̧aby
AE.03	N-782830	25.0	55.3	Debei
AE.03	N-782830	25.0	55.3	Dibai
AE.03	N-782830	25.0	55.3	Debai
AE.03	N-782830	25.0	55.3	Dubai
AE.03	N-782830	25.0	55.3	إمارة دبي
AE.03	N-782830	25.0	55.3	State of Dubai
AE.03	N-782830	25.0	55.3	Shaikhdom of Dubai
AE.03	N-782830	25.0	55.3	Sheikhdom of Dubai
AE.03	N-782830	25.0	55.3	Dubayy
AE.04	N-782157	25.1	56.2	Fujeira
AE.04	N-782157	25.1	56.2	Fujaira
AE.04	N-782157	25.1	56.2	Fujairah
AE.04	N-782157	25.1	56.2	Fujayrah
AE.04	N-782157	25.1	56.2	Fujarah
AE.04	N-782157	25.1	56.2	إمارة الفجيرة
AE.04	N-782157	25.1	56.2	Sheikhdom of Fujayrah
AE.04	N-782157	25.1	56.2	Sheikhdom of Fujairah
AE.04	N-782157	25.1	56.2	Shaikhdom of Fujairah
AE.04	N-782157	25.1	56.2	Al Fujayrah
AE.02	N-782101	25.4	55.5	`Ujman
AE.02	N-782101	25.4	55.5	إمارة عجمان
AE.02	N-782101	25.4	55.5	Sheikhdom of Ajman
AE.02	N-782101	25.4	55.5	Imarat `Ajman
AE.07	N-784509	25.5	55.8	Umm al Qiwain
AE.07	N-784509	25.5	55.8	Umm al Qawain
AE.07	N-784509	25.5	55.8	Umm Al Quwain
AE.07	N-784509	25.5	55.8	أم القيوين
AE.07	N-784509	25.5	55.8	Skeikhdom of Umm al Qaiwain
AE.07	N-784509	25.5	55.8	Imarat Umm al Qaywayn
AF.02	N-3369597	35.0	63.8	Velayat-e Badghisat
AF.02	N-3369597	35.0	63.8	Badgheassaat Province
AF.02	N-3369597	35.0	63.8	Badghis Province
AF.02	N-3369597	35.0	63.8	Velayat-e Badghis
AF.02	N-3369597	35.0	63.8	Bādghīs
AF.02	N-3369597	35.0	63.8	Badghis
AF.42	N10471834	35.4	69.8	Panjshir
AF.42	N10471834	35.4	69.8	Panjshir
AF.42	N10471834	35.4	69.8	Panjshayr
AF.42	N10471834	35.4	69.8	Panjshayr
AF.14	N-3379145	35.0	69.6	Kapissa Province
AF.14	N-3379145	35.0	69.6	Kapissa
AF.14	N-3379145	35.0	69.6	Velayat-e Kapisa
AF.14	N-3379145	35.0	69.6	Kāpīsā
AF.14	N-3379145	35.0	69.6	Kapisa
AF.37	N6240773	33.4	69.9	Welayat-e Khost
AF.37	N6240773	33.4	69.9	Velayat-e Khowst
AF.37	N6240773	33.4	69.9	Khōst
