#Nationality listing from OpenSextant v1.1,ISO3
#REFERENCES:,https://www.everyculture.com/A-Bo/index.html
#REFERENCES:,https://en.wikipedia.org/ select pages
abkhaz,TUR
abkhazian,TUR
abkhazians,TUR
afghan,AFG
afghani,AFG
afghans,AFG
albanian,ALB
albanians,ALB
algerian,DZA
algerians,DZA
american,USA
american samoan,ASM
american samoans,ASM
americans,USA
andorran,AND
andorrans,AND
angolan,AGO
angolans,AGO
anguillan,AIA
anguillans,AIA
antiguan,ATG
antiguans,ATG
argentine,ARG
argentinean,ARG
argentineans,ARG
argentines,ARG
argentinian,ARG
argentinians,ARG
armenian,ARM
armenians,ARM
aruban,ABW
arubans,ABW
aussie,AUS
australian,AUS
australians,AUS
austrian,AUT
austrians,AUT
azerbaijani,AZE
azerbaijanis,AZE
azeri,TUR
azeris,TUR
bahamian,BHS
bahamians,BHS
bahraini,BHR
bahrainis,BHR
bajuns,BRB
bamar,MMR
bangladeshi,BGD
bangladeshis,BGD
barbadian,BRB
barbadians,BRB
barbudan,ATG
barbudans,ATG
basotho,
batswana,BWA
belarusian,BLR
belarusians,BLR
belgian,BEL
belgians,BEL
belizean,BLZ
belizeans,BLZ
beninese,BEN
beninois,BEN
bermudan,BMU
bermudans,BMU
bermudian,BMU
bermudians,BMU
bhutanese,BTN
bolivian,BOL
bolivians,BOL
boricuas,
bosniak,BIH
bosniaks,BIH
bosnian,BIH
bosnians,BIH
botswanan,BWA
botswanans,BWA
brazilian,BRA
brazilians,BRA
brit,GBR
brits,GBR
british,GBR
british virgin island,VGB
british virgin islanders,VGB
britons,GBR
britons,GBR
bruneian,BRN
bruneians,BRN
bulgarian,BGR
bulgarians,BGR
burkinabe,BFA
burmese,MMR
burundian,BDI
burundians,BDI
cambodian,KHM
cambodians,KHM
cameroonian,CMR
cameroonians,CMR
canadian,CAN
canadians,CAN
cape verdean,CPV
cape verdeans,CPV
cape verdian,CPV
cayman,CYM
caymanian,CYM
caymanians,CYM
central african,CAF
central africans,CAF
chadian,TCD
chadians,TCD
chilean,CHL
chileans,CHL
chinese,CHN
#christmas island,
christmas islanders,CXR
citizen of the holy see,
cocos island,
cocos islanders,
colombian,COL
colombians,COL
comoran,COM
comorian,COM
comorians,COM
congolese,COD;COG
#cook island,
cook islanders,
costa rican,CRI
costa ricans,CRI
croat,HRV
croatian,HRV
croatians,HRV
croats,HRV
cuban,CUB
cubans,CUB
cypriot,CYP
cypriots,CYP
czech,CZE
czechs,CZE
dane,DNK
danes,DNK
danish,DNK
djibouti,DJI
djiboutian,DJI
djiboutians,DJI
dominican,DOM;DMA
dominicans,DOM;DMA
dominicana,DOM;DMA
dominicano,DOM;DMA
deutsch,DEU
dutch,NLD
dutch antillean,ANT
dutch antilleans,ANT
east timorese,TLS
ecuadorean,ECU
ecuadorian,ECU
ecuadorians,ECU
egyptian,EGY
egyptians,EGY
emirati,ARE
emiratis,ARE
emirian,ARE
emirians,ARE
#english,
equatoguinean,GNQ
equatoguineans,GNQ
equatorial guinean,GNQ
equatorial guineans,GNQ
eritrean,ERI
eritreans,ERI
estonian,EST
estonians,EST
ethiopian,ETH
ethiopians,ETH
falkland island,FLK
falkland islanders,FLK
faroese,FRO
fijian,FJI
fijians,FJI
filipina,PHL
filipino,PHL
filipinos,PHL
finn,FIN
finnish,FIN
finns,FIN
