exclusion,category
doc,abbrev
id,abbrev
ibid,abbrev
imo,abbrev
asap,abbrev
bio,abbrev
eta,abbrev
tel,abbrev
lat,abbrev
lon,abbrev
res,abbrev
sub,abbrev
conop,abbrev
supreme,adjective
imperial,adjective
pinnacle,noun
keen,adjective
graphic,adjective
excelsior,adjective
alpine,adjective
harder,adjective
urban,adjective
allied,adjective
inter,adjective
mini,adjective
covert,adjective
quick,adjective
rapid,adjective
early,adjective
hasty,adjective
vintage,adjective
experimental,adjective
trojan,adjective
indo,adjective
jew,adjective
jewish,adjective
latino,adjective
amish,adjective
baltic,adjective
oceanic,adjective
pan american,adjective
panamerican,adjective
pan-american,adjective
trans,adjective
civil,adjective
marine,adjective
state-run,adjective
bland,adjective
blank,adjective
electric,adjective
hydro,adjective
homo,adjective
daily,adjective
annual,adjective
united,adjective
royal,adjective
main,adjective
vice,adjective
industrial,adjective
free,adjective
libre,adjective
fine,adjective
fair,adjective
good,adjective
bad,adjective
dear,adjective
gross,adjective
joint,adjective
young,adjective
strong,adjective
grand,adjective
little,adjective
higher,adjective
prime,adjective
premier,adjective
best,adjective
large,adjective
tall,adjective
wild,adjective
provincial,adjective
medical,adjective
congressional,adjective
english,adjective
french,adjective
malay,adjective
anglo,adjective
sino,adjective
serial,adjective
freed,adjective
mega,adjective
minor,adjective
loving,adjective
glad,adjective
smart,adjective
strange,adjective
sweet,adjective
happy,adjective
neo,adjective
naval,adjective
maritime,adjective
regional,adjective
mono,adjective
solar,adjective
shorter,adjective
lucky,adjective
papal,adjective
oral,adjective
olympic,adjective
confederate,adjective
cirrus,adjective
done,adjective
auto,adjective
corporal,adjective
liberal,adjective
# Not Mobile:, but mobil
# mobile,adjective
mobil,adjective
micro,adjective
prospective,adjective
municipal,adjective
lone,adjective
consolidated,adjective
penal,adjective
consular,adjective
muerte,adjective.spa
shortly,adverb
the,article
black,color
blue,color
green,color
red,color
rouge,color
white,color
yellow,color
brown,color
orange,color
gray,color
grey,color
bronze,color
tan,color
blanc,color.fra
blanco,color.spa
democracy,concept.politics
kingdom,concept.politics
christ,concept.religion
jesus,concept.religion
passover,concept.religion
creed,concept.religion
god,concept.religion
devil,concept.religion
spirit,concept.religion
